;;;;;;;;;;x
expand_anatolian_holdings_title;Expand our territorial holdings.;x
expand_anatolian_holdings_desc;We have proven ourselves the undisputed masters of Asia Minor. It is only natural that we extend this to the furthest reaches of the subcontinent.;x
treaty_of_aydin_title;The Treaty of Aydin;x
treaty_of_audin_desc;We have beaten the Romans from our rightful territory, and with their crumbling empire to the west, it is a prime opportunity for us to force them to cede nearly all of Asia minor to us.;x
accepting_flemish_people_title;Embracing the Flemish;x
accepting_flemish_people_desc;The Flemish of the late Duchy of Brabant are very similar to our own people linguistically and culturally. Really, we are the same people separated for too long by political borders. Let us rectify this by embracing the Flemish as our brothers!;x
AEN_occupies_SCO_1_title;Enforce Our Demands on Alba;x
AEN_occupies_SCO_1_desc;We have occupied the Albannach lowlands for so long that their war effort has crumbled entirely, despite the support of their allies. It is time to force an end, even if they refuse to accept it.;x
AEN_occupies_SCO_2_title;The End of Alba;x
AEN_occupies_SCO_2_desc;We have occupied the Albannach highlands for so long that their war effort has crumbled entirely, despite the support of their allies. It is time to force an end, even if they refuse to accept it. This is the end of Alba.;x
aid_BYZ_ALB_title;Propose Military Aid to the Empire;x
aid_BYZ_ALB_desc;The Empire is facing a difficult time right now, and we have managed to secure autonomy. If we play our cards right, we can attain independence! By offering military aid in exchange for the promise of full sovereignty after the rebellions are over, we can offer a peaceful, respectable solution to Autokrator Georgios' problems.;x
aid_BYZ_BUL_title;Propose Military Aid to the Empire;x
aid_BYZ_BUL_desc;The Empire is facing a difficult time right now, and we have managed to secure autonomy. If we play our cards right, we can attain independence! By offering military aid in exchange for the promise of full sovereignty after the rebellions are over, we can offer a peaceful, respectable solution to Autokrator Georgios' problems.;x
alvmun_new_title;Renovate Alvmun;x
alvmun_new_desc;Now that we have colonized the northern plains, the Missisippi River is fast becoming our most vital commercial artery. The port of Alvmun, at the mouth of the river, is positioned to grow enormously as a result. By draining its surrounding swamplands and improving its infrastructure, we can guarantee the city's prosperity in the years to come.;x
ANA_claim_victory_title;Claim Victory;x
ANA_claim_victory_desc;By capturing Constantinople, the seat of the Empire and Georgios, we can end this war and claim the throne. Let Georgios flee if he likes. He who controls the city controls the Empire.;x
annexation_of_saxony_title;The Annexation of Saxony;x
annexation_of_saxony_desc;Saxony failed to take part in the Brunswick Congress, but they must not be allowed to remain outside the German question. They will join us peacefully, as much for their protection against our neighbors as for the protection of all Germans. If they do not, war is no doubt near for them.;x
annex_califiana_title;The Problem of Califiana;x
annex_califiana_desc;All that stands between us and the Pacific is the poor, sparsely settled land of Califiana to our west. Our brothers in Skamisc might join us in taking their lands, if the price is right. Let us approach them and enlist their aid.;x
annex_oax_title;Annex Oaxaca;x
annex_oax_desc;Now that the Nahua threat has at last been dealt with, we can force the Zapotec people to bend the knee.;x
annex_provence_title;Annex Prouvença;x
annex_provence_desc;Amid the background of the continued political and economic dependence of Prouvença upon our country, certain recent events have made it expedient now to formalize its incorporation into the greater Aquitànian political structure. May all of its citizens benefit from this step.;x
annex_trs_title;Annex Tarasco;x
annex_trs_desc;With the Nahua threat eliminated, we can force the Tarascan people to bend the knee.;x
annex_XBI_title;Annex Qinghai;x
annex_XBI_desc;It is time to strengthen our administration and end the Qinghai autonomous governate!;x
annex_YNN_title;Annex Yunnan;x
annex_YNN_desc;It is time to strengthen our administration and end the Yunnan autonomous governate!;x
approach_aqt_title;Approach Aquitània;x
approach_aqt_desc;Both powers on the Italian peninsula have expressed a territorial interest in our islands. As they know we would refuse to join them, this interest is to be interpreted as a military threat to our sovereignty. Aquitània is a new-born republic like our own. We should build our relations with them, in order to secure our republic.;x 
ask_HAI_title;Invite Firgene;x
ask_HAI_desc;Firgene is predominantly a nation of former Aenglisc slaves, and though Gidan was mostly a French colony, we also experienced oppression under the Aenglisc. This shared experience, as well as the common Caribbean creole spoken by many of our peoples, binds us together. We should extend them an offer to join our nation.;x
assert_western_claims_SIE_title;Assert our Western Claims;x
assert_western_claims_SIE_desc;It has been some time since we lost control over Syrmia and the Banat, but we are once again in a position to take them back. May our flag fly over those lands again!;x
azt_revolt_title;Revolt Against Meikan Rule;x
azt_revolt_desc;As Mexika slowly attempts to centralize its government, it is likely that one day our people will attempt to reject their rule. We can take the initiative and declare our independence sooner.;x
azt_civilize_title;Join the Civilized World;x
