#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"

# Common Great Powers

AEN		= "countries/Aengland.txt"
BYZ		= "countries/Byzantium.txt"
RUS		= "countries/Russia.txt"
FRA		= "countries/France.txt"
GER		= "countries/Germany.txt"
JAP		= "countries/Japan.txt"
ITA		= "countries/Italy.txt"

#Central and South America

ARG		= "countries/Argentina.txt"
AZT		= "countries/Aztlan.txt"
CHL		= "countries/Chile.txt"
GDN		= "countries/Gidan.txt"
HOY		= "countries/Hoyekysten.txt"
INC		= "countries/Inca.txt"
LPL		= "countries/La Plata.txt"
LTS		= "countries/Luteces.txt"  #French-speaking part of Uilscyr
MDT		= "countries/Midtenland.txt"
MEL		= "countries/Mellomamerika.txt" #Union of MNK, HOY, and MDT
MNK		= "countries/Mankemmark.txt"
OAX		= "countries/Oaxaca.txt"
PTG		= "countries/Patagonia.txt"
RGS		= "countries/Rio Grande do Sul.txt"
TCN		= "countries/Tareconia.txt" #Hispanian/Catalan part of Uilscyr
URU		= "countries/Uruguay.txt" #Ysun
USR		= "countries/Uilscyr.txt" #Aenglisc Brazil
YUC		= "countries/Yucatan.txt"

# North America
CHE		= "countries/Cherokee.txt"
CLF		= "countries/Califiana.txt"
CUB		= "countries/Cuba.txt"
DAK		= "countries/Dakota.txt"
GNC		= "countries/Ginnaecer.txt"
GRN		= "countries/Greenland.txt"
HAI		= "countries/Haiti.txt"		#Firgene
HAW		= "countries/Hawaii.txt"
IRO		= "countries/Iroquois.txt"
JAM		= "countries/Jamaica.txt"
LSK		= "countries/Alaska.txt"
MEX		= "countries/Mexico.txt"
MRG		= "countries/Margaria.txt"
NHL		= "countries/New Holland.txt"
QUE		= "countries/Quebec.txt"	#Dabimon
SCW		= "countries/Scylfiga Woning.txt" #Union of GNC and SKM
SHC		= "countries/Shawnee Confederation.txt"
SKM		= "countries/Skamisc.txt"
SOL		= "countries/Solelha.txt"
TRS		= "countries/Tarasco.txt"
VST		= "countries/Vestland.txt"

# Northern Europe
ABN		= "countries/Albina.txt"
CLT		= "countries/Celtic Union.txt"
DEN		= "countries/Denmark.txt"
EST		= "countries/Estonia.txt"
FIN		= "countries/Finland.txt"
ICL		= "countries/Iceland.txt"
IRE		= "countries/Ireland.txt"
KER     = "countries/Cornwall.txt"
LAT		= "countries/Latvia.txt"
LIT		= "countries/Lithuania.txt"
NOR		= "countries/Norway.txt"
SAM		= "countries/Sami.txt"
SCA		= "countries/Scandinavia.txt"
SCO		= "countries/Scotland.txt"
SKA		= "countries/Skane.txt"
SWE		= "countries/Sweden.txt"
UBD		= "countries/United Baltic Provinces.txt"
WHA		= "countries/Wales.txt"

# Eastern Europe
BAN		= "countries/Banat.txt"
BHN		= "countries/Bohemia-Hungary.txt"
BKV		= "countries/Bukovina.txt"
BOH		= "countries/Bohemia.txt"
BYE		= "countries/Belarus.txt"
CRI		= "countries/Crimea.txt"
HUN		= "countries/Hungary.txt"
POL		= "countries/Poland.txt"
PRH		= "countries/Prague.txt"
RUT		= "countries/Ruthenia.txt"
SIE		= "countries/Siebenburgen.txt"	#Ardeal/Transylvania
SLS		= "countries/Silesia.txt"
SLV		= "countries/Slovakia.txt"
SRM		= "countries/Syrmia.txt"
UKR		= "countries/Ukraine.txt"
ZAC		= "countries/Zachadia.txt"

# Balkans
ALB		= "countries/Albania.txt"
ANA		= "countries/Anatolia.txt"
BOS		= "countries/Bosnia-Herzegovina.txt"
BUL		= "countries/Bulgaria.txt"
CRE		= "countries/Crete.txt"
CRO		= "countries/Croatia.txt"
CYP		= "countries/Cyprus.txt"
DLM		= "countries/Dalmatia.txt"
FIU		= "countries/Fiume.txt"
GRE		= "countries/Greece.txt"
IRK		= "countries/Irakleio.txt"
MCD		= "countries/Macedonia.txt"
MOL		= "countries/Moldavia.txt"
MNT		= "countries/Montenegro.txt"
SER		= "countries/Serbia.txt"
SLO		= "countries/Slovenia.txt"
VOL		= "countries/Volasea.txt"
WAL		= "countries/Wallachia.txt"
YUG		= "countries/Yugoslavia.txt"

# Western Europe
ALS		= "countries/Elsass.txt"
AQT		= "countries/Aquitania.txt"
BRB		= "countries/Brabant.txt"
BRR		= "countries/Bar.txt"
BRT		= "countries/Brittany.txt"
CAT		= "countries/Catalonia.txt"
CMP		= "countries/Champagne.txt"
DAU		= "countries/Daufinat.txt"
FLA		= "countries/Flanders.txt"
GLC		= "countries/Galicia.txt"
HIS		= "countries/Hispania.txt"
LOR		= "countries/Lorraine.txt"
NAV		= "countries/Navarra.txt"
NET		= "countries/Netherlands.txt"
NRM		= "countries/Normandy.txt"
ORL		= "countries/Orleans.txt"
POR		= "countries/Portugal.txt"
PRE		= "countries/Provence.txt"
SWI		= "countries/Switzerland.txt"
WLL		= "countries/Wallonia.txt"

# Italy
CRS		= "countries/Corsica.txt"
GEN		= "countries/Genoa.txt"
