#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
NOT_STRONGER_ARMY_THAN;Does not have a stronger military than ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_avadhi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Avadhi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_avadhi_minority_title;Embrace the Avadhi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_baluchi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Baluchi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_baluchi_minority_title;Embrace the Baluchi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_pashtun_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Pashtun lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_pashtun_minority_title;Embrace the Pashtuns;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_sindi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Sindi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_sindi_minority_title;Embrace the Sindi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
SCA_customs_union_desc;The first step in uniting the Scandinavian nations is to eliminate the restrictions on trade between us. Open the borders!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
SCA_customs_union_title;The Scandinavian Customs Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
SCA_political_union_desc;The next step towards uniting Scandinavia is reducing the differences in our governments. Why have multiple agencies when there can simply be one, providing all our people with the services they need? We must surrender our individual sovereignty for common gain.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
SCA_political_union_title;The Scandinavian Political Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
STRONGER_ARMY_THAN;Has a stronger military than ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_beiyang_faction_desc;The goals of the Beiyang Army are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_beiyang_faction_title;Abandon the Beiyang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_communist_faction_desc;The goals of the Communists are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_communist_faction_title;Abandon the Communists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_kuomintang_faction_desc;The goals of the Kuomintang are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_kuomintang_faction_title;Abandon the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutral_faction_desc;We can no longer afford to stand on the sidelines in the civil war. For better or worse, we must recognize that we have already cast the die in the conflict and take a stand.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_neutral_faction_title;Abandon Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutrality_desc;The might of the Swiss army is such that we can repel our neighbors without difficulty. Our policy of neutrality is no longer necessary.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutrality_title;Abandon Swiss Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abolish_serfdom_title;The Peasant Reform;x
abolish_serfdom_desc;The institution of serfdom -- unfree farm labour tied to the land of a local noble, effectively a form of feudal slavery -- had existed in various forms in Russia since the Kievan Rus of the 11th century. Throughout the ages the institution had undergone several reforms and changes. However, the institution was only abolished the country with the agrarian reform of 1861, during the reign of Tsar Feodor II, who at the time feared that the Russian peasantry might otherwise seek their liberation through outright revolution.;x
abolish_the_han_system_desc;The han system, under which the daimyo rule as feudal lords with very little central authority remaining to the government, is an antiquated relic that must be eliminated. The domains shall be replaced with prefectures, and the daimyos given roles as governors and bureaucrats. There will be resistance, but all will come to understand that this is for the greater good of Japan.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
abolish_the_han_system_title;Abolish the Han System;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accademia_della_crusca_desc;The Accademy of the Crusca, the most prertigious center of study for the italian language, would gladly appreciate an economic help from your majesty to keep on with the good work on italian literature's history... and to pay those new paintings for the main hall;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
accademia_della_crusca_title;Accademia della Crusca;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_our_brothers_desc;Since we've gained control of our Estonian brothers and many former Russian provinces with Karelian minorities, we should adjust our policies to be more inclusive towards them to help unite us against a renewed attempt by the Russians to conquer us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_our_brothers_title;Accepting Our Brethren;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_the_slovaks_desc;Accepting the Slovakian minority as Hungarians would go a long way towards fixing our ethnic troubles.;;;;;;;;;;;;;x
accepting_the_slovaks_title;Accepting the Slovaks;;;;;;;;;;;;;x
accepting_walloon_people_desc;The Walloonians are restless and desire a say in government, at this point we have little choice but to let them have their way if we want to keep them under our control.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_walloon_people_title;Integrating the Walloonian Minority;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
aden_protectorate_desc;With enough influence among the sheiks of southern Yemen, a treaty could be signed that would force them to acknowledge us as their sovereign. We cede them Aden, and in return they would agree enter into no relationships with other nations without our express permission. Our continued influence over the Arabian peninsula would be secured.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
aden_protectorate_title;The Aden Protectorate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ainu_lands_desc;Now that we have been recognized as a civilized nation we can officially settle the islands to our north without the threat of Japanese intervention ;;;;;;;;;x
ainu_lands_title;Formally Settling the Islands;;;;;;;;;x
alaskan_nationalism_desc;The borders of Free Halesca need to be extended, our people freeze and starve in our tiny colony so the only logical choice is to move south.;;;;;;;;;;;;;x,,
alaskan_nationalism_title;Extending Halesca;;;;;;;;;;;;;x,,,
albania_in_yugoslavia_desc;The Albanians must be incorporated into the larger Slavic union.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
