;;;;;;;;;;;;x,,,,
ANY_ALL;Any province;;;;;;;;;;;;;x,,,,
HAS_NOT_GOODS;produces ;;;;;;;;;;;;;x,,,,
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;x,,,,
MAJORITY_IS_NOT;Majority of the population is not ;;;;;;;;;;;;x,,,,
TRIGGER_CIV_PROGRESS_LESS;Civilization progress: §Y50§W%;;;;;;;;;;;;x,,,,
TRIGMODLOST_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi¹zany z okreœlonym wydarzeniem przestaje oddzia³ywaæ na twoje pañstwo (np. c³o narzucone przez pañstwo trzecie);$head_of_government$ informa de;Quando l'effetto di un modificatore condizionato (ad es. il Pedaggio sullo Stretto) cessa;Mikor egy módosítást okozó esemény befejezõdik (korábbi hang-vám);Když jste subjektem trojnásobného modifikátoru.;;;;;;x,,,
TRIGMOD_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi¹zany z okreœlonym wydarzeniem wp³ywa na twoje pañstwo (np. c³o narzucone przez pañstwo trzecie);$head_of_government$ informa de;Quando subisci l'influenza di un modificatore condizionato (ad es. il Pedaggio sullo Stretto);Mikor valami esemény módosulása van rád hatással (korábbi hang-vám);Když jste subjektem trojnásobného modifikátoru;;;;;;x,,,
administrative_genius;Administrative Genius;;;;;;;;;;;;;x,,,,
administrative_genius_desc;Under our leader's guidance, the country's bureaucracy has never run more efficiently. Nothing escapes his notice.;;;;;;;;;;;;;x,,,
ambitious_union_boss;Ambitious Union Boss;;;;;;;;;;;;;x,,,,
ambitious_union_boss_desc;Our leader hails from the ranks of the blue-collar unions, a man who has worked his way up through the ranks... right to the very top.;;;;;;;;;;;;;x,,,
angered_by_bakufu;Angered by the bakufu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ansei_purge;Ansei Purge;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
anti_jacobin_movement;Anti-Albesan;;;;;;;;;;;;x,,,,
anti_jacobin_movement_desc;A reaction to the Albesans and the struggle for democracy, reactionary elements in countries became very entrenched against democracy as a concept-- calling it 'inherently flawed' and misguided, as well as a source of chaos, rather than holding the possibility of anything useful or good.;;;;;;;;;;;;x,
anti_manchu_sentiment;Anti-Manchu Sentiment;;;;;;;;;;;;;x,,,,
anti_manchu_sentiment_desc;There is a great deal of bitterness against the Qing Dynasty's rulers in this province.;;;;;;;;;;;;;x,,,,
