EVTDESC188718953;The Hamburg-Hispanian freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;;;;;;;;;;;x
building_suez_canal;Building the Suez Canal;;;;;;;;;;x
building_suez_canal_desc;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;;;;;;;;;;;;x
building_panama_canal;Building the Mellom Canal;;;;;;;;;;x
building_panama_canal_desc;The Mellom Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;;;;;;;;;;;;x
building_kiel_canal;Building the Kil Canal;;;;;;;;;;;x
building_kiel_canal_desc;The Kil Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;;;;;;;;;;;x
EVTDESC185918692;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;;;;;;;;;;;x
EVTDESC185918694;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;;;;;;;;;;;x
EVTDESC185918695;Today armed Bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the Aenglisc are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is of course that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;;;;;;;;;;;;;;;x
building_suez_canal_revolt;Worker revolt at the Suez Canal;;;;;;;;;;;;x
building_suez_canal_revolt_desc;Construction off the Suez Canal has halted until the revolt is over.;;;;;;;;;;;x
suez_canal;Suez Canal;;;;;;;;;;;;x
kiel_canal;Kil Canal;;;;;;;;;;;x
panama_canal;Mellom Canal;;;;;;;;;x
EVTDESC190419144;The Mattson-Varilla treaty was an agreement signed in $YEAR$ between Hispania and Midtenland granting exclusive canal rights to Hispania across the isthmus of Midtenland in exchange for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
EVTDESC190419145;The Mattson-Varilla treaty was an agreement signed in $YEAR$ between Hispania and Midtenland granting exclusive canal rights to Hispania across the isthmus of Midtenland in exchange for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
EVTDESC190419146;The Mattson-Varilla treaty was an agreement signed in $YEAR$ between Hispania and Midtenland granting exclusive canal rights to Hispania across the isthmus of Midtenland in exchange for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
panama_canal_treaty;Mattson-Varilla treaty;;;;;;;;;;;;x
panama_canal_treaty_desc;The Mattson-Varilla treaty was an agreement between Hispania and Midtenland granting exclusive canal rights to Hispania across the isthmus of Midtenland in exchange for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;x
EVTDESC185918696;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
EVTDESC185918697;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
EVTDESC185918698;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
suez_canal_treaty;Suez Canal Treaty;;;;;;;;;;;x
suez_canal_treaty;In $YEAR$ the Suez Canal Treaty was signed exchanging canal rights for a financial reimbursement of 10,000,000 plus an annuity of 250,000.;;;;;;;;;;;x
EVTDESC188718955;The Kil Canal was finished in 1895 and took over 9000 workers 8 years to build. It connects the North Sea to the Baltic sea and has a length of 98 kilotmetres. The highest points lies at 25 metres above sea level, total excavation amounted to 100,000,000 cubic yards and the cost to bout 40,000,000 dollars.;;;;;;;;;;;;x
EVTDESC185918699;"On November 20, 1859 Ferdinand de Lesseps erected a bronze bust of Waghorn overlooking the mouth of the Suez Canal at the port of Tewfik. On the base, he inscribed these words of admiration: ""In homage to the memory of a generous though unfortunate man, who alone, without any help, by a long series of labours and heroic efforts, practically demonstrated and determined the adoption of the postal route through Egypt, and the communication between the East and the West of the world";" and this was the originator and pioneer of the great Egyptian maritime commerce completed by the canal of the two seas.""";;;;;;;;;;;x
EVTDESC1859186910;Work on the Suez Canal started in 1859 and was completed in 1869. It connects the Mediterranean with the Red Sea and shortens the journey between Europa and Asia drastically. More than 30,000 peope were working on the canal at any given moment and thousands of labourers died on the project. The financial cost was over 100,000,000 dollars, more than double the initial estimate.;;;;;;;;;;;x
EVTDESC190419147;The Mellom Canal joins the Atlantic Ocean and the Pacific Ocean, replacing the long and treacherous route around South Ameriga. Construction was first started in 1880 by the Aengland but later abandoned due to technical problems, financial mismanagement and a high deathtoll of 22,000 thanks to tropical diseases. In 1904 construction was resumed by Hispania who finished it in 1914. Even with medical advances more than 5,000 workers died and total cost was over 600,000,000 dollars.;;;;;;;;;;;x
EVTDESC190419148;Diseases, particulary malaria and yellow fever, were one of the primary difficulties during construction of the Mellom Canal. More than 22,000 were reported to have died during the Aenglisc construction attempt. In spite of medical advanves, more than 5,600 workers still died during the Hispanian construction years.;;;;;;;;;;;;x
EVTDESC190419149;Picture showing a fumigation car eradicating disease carrying mosquitos. In 1881 the mosquite was identified as the vector of malaria and yellow fever by Hispanian physician Dr. Stefano Gutierrez. In the second construction attempt of the Mellom Canal widespread measures were taken to prevent diseases and working conditions improved considerably.;;;;;;;;;;;x
EVTDESC1904191410;A Marona steam shovel excavating the Mellom Canal in 1908. The Mellom Canal, in particular the Culebra Cut, not only represented a challenge of excavation but also transportation. Pablo Alcaraz, an Hispanian engineer, developed an intricate rail system to move the dirt from the excavation site to dump sites. At the peak of construction effort, 25,000 men removed a million cubic yards of material every day.;;;;;;;;;;;x
EVTDESC1904191411;Forty tons of dynamite destroys the last barrier between the oceans. More than 600 holes filled with dynamite were fired daily. In all, 27,000 tonnes of dynamite were used.;;;;;;;;;;;x
EVTDESC1904191412;Picture showing workers digging a small canal through the Cucaracha slide, a mass wasting of almost 400,000 cubic metres of clay. Constant landslides delayed the completion of the Mellom Canal by nearly 2 years. One third of all excavated material from the Culebra Cut was brought into the cut by the landslides.;Picture showing workers digging a small canal through the Cucaracha slide, a mass wasting of almost 400,000 cubic metres of clay. Constant landslides delayed the completion of the Mellom Canal by nearly 2 years. One third of all excavated material from the Culebra Cut was brought into the cut by the landslides.;;;;;;;;;;x
EVTDESC1904191413;Picture showing the Mellom Canal Company Liquidation Court Trial in Lundenster, Aengland. The Mellom Canal Scandal was a corruption affair that broke out in Aengland in 1892. Close to a billion panings were lost when the government took bribes to keep quiet about the Mellom Canal Company's financial troubles, in what is regarded as the largest monetary corruption scandal of the 19th century.;;;;;;;;;;;;;;;x
EVTDESC1904191414;"A caricature on the scandal. It reads: ""Few new toys this year: we're liquidating everything that remains of the stock of jack-in-the-boxes that say: Mella, -lom, -lon, -mellom."" A concluding picture of the bankruptcy was formed in 1892. Some 800,000 Aenglisc people, including 15,000 single women, had signed for stocks, bonds and founder shares from the Mellom Canal Company, to the sum of - the then considerable amount of - approximately 1,8 billion gold panings.";;;;;;;;;;;x
building_panama_canal_scandal;Mellom Canal Scandal;;;;;;;;;x
building_panama_canal_scandal_desc;Until the memory of the disastrous construction attempt of the Mellom Canal has faded enough, we can't resume construction.;;;;;;;;;;;x
EVTDESC1904191415;In 1902 the Aenglisc sold their equipment to the Hispanians for 40 million dollars.;;;;;;;;;;;x
