;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTNAME11108;Slavic Unification;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11108;The call has gone out for the Slavic nations of the Balkans to finally unite under a common banner, to resist the encroachment of the Austrians and Turks as well as other European powers. Yugoslavia, it is said, will be a power to rival even its most powerful neighbours. Whether this new nation would succeed in holding together a people divided by centuries of bitter warfare is best left for speculation.;;;;;;;;;;;;x,,,,,,,
EVTNAME17710;Communist Propaganda;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC17710;Communists have been distributing literature among the working classes in one of our states. They are claiming that the common man needs to rise up against the 'bourgeois' class, and that rule by the workers is the only way they can obtain fair conditions and a truly utopian society. Government officials are concerned, and some say that we need to crack down hard on this kind of talk.;;;;;;;;;;;;x,,,,,,,,
EVTNAME17715;The Common Man;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC17715;Socialist leanings have become quite prevalent in parts of $COUNTRY$, and among these socialists radical ideas have been spreading-- namely that the common man can only achieve true freedom by overthrowing the government and establishing a rule by the working class. They cite the $COUNTRY_ADJ$ government as tyrannical, and one that will never bend to true reform... and the people have been listening.;;;;;;;;;;;;x,,,,,,,,
EVTNAME17720;Communist Riot;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC17720;The tense situation in one of our states has been aggravated by the presence of communist agitators, spurring on the working classes to rise up against the government and institute a rule by the workers. We could step in, but that might only provoke a rebellion. Allowing the agitators to continue spreading their propaganda, however, might let them get a stronger foothold in $COUNTRY$.;;;;;;;;;;;;x,,,,,,
EVTNAME17730;Communists in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC17730;A communist demonstration in the streets of $PROVINCENAME$, with shouts decrying the state of workers in $COUNTRY$, has gained the communists a great deal of attention and sympathy throughout $STATENAME$. Attempting to crack down on these agitators may only cause the demonstrations to turn into violence.;;;;;;;;;;;;x,,,,,,,,
EVTNAME18210;The Right to Vote;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18210;A bill has come before the government in $CAPITAL$ regarding the current enfranchisement offered to the $COUNTRY_ADJ$ people. The discussion so far has been that expanding the voter base has led only to problems, and this bill would tighten the restrictions on voting... to the point where entire groups of people would have their voting rights removed. Passing the bill would no doubt cause problems, but the government seems determined to do so.;;;;;;;;;;;;x,,,,,,,,
EVTNAME18215;Party Loyalty?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18215;A group of the ruling elite in $CAPITAL$ has recently become very concerned at reforms which have made it possible for members of the government to hold views outside of party policies. These reforms have made things too lax, they say, and will ultimately lead to the demise of $COUNTRY$. They've succeeded in gathering enough clout to pass a bill strengthening the power of the party whips, and ensuring that the party's influence in the government remains absolute.;;;;;;;;;;;;x,,,,,,,
EVTNAME18220;The Right to Information;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18220;A bill has come before the government in $CAPITAL$ regarding the rights of the press. Many feel that the reforms have allowed the $COUNTRY_ADJ$ newspapers to become combative with the government, inciting dissension and making the $COUNTRY_ADJ$ people harder to control. This control is necessary, they say, if $COUNTRY$ is to remain strong and united. While some might be upset by the bill's passing, the government appears entrenched in its position.;;;;;;;;;;;;x,,,,,,
EVTNAME18225;The Right to Gather;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18225;A bill has come before the government in $CAPITAL$ regarding the rights of the people to gather. Many feel that reforms have allowed the $COUNTRY_ADJ$ people to become too liberated-- they gather in crowds, protesting the government and otherwise stirring the rest of the rabble. Once upon a time, they say, this simply wouldn't have been allowed. New rules must be put in place to limit the number of people that can meet in one place, and for what purpose. While some might be upset by the bill's passing, the government appears entrenched in its position.;;;;;;;;;;;;x,,,,,
EVTNAME18230;Rights of the Opposition;;;;;;;;;;;;x,,,,,,,,,,
